# LandmarkTestApp — South India landmark dataset
# Format: name,lat,lon,category,details,rating,is_social
#
# Categories and their scoring rules in selectBestAlert():
#   EV_STATION  → score 100 when battery < 20%
#   SOCIAL      → score 50  when driveTime > 60 min (cloud gem path)
#   SCENIC      → score 0   (informational only)
#   REST_STOP   → score 0   (informational only)
#
# Route coverage:
#   Bangalore city + outskirts (NICE Road, ORR, Hosur Road, Mysore Road)
#   Chennai city + outskirts (ECR, OMR, NH-48 approach)
#   NH-48 corridor (Bangalore ↔ Chennai via Krishnagiri / Vellore)
#
# ── EV Stations — Bangalore ───────────────────────────────────────────────────
EV_Tata_Koramangala,12.9352,77.6245,EV_STATION,Tata Power EV 4x CCS2 50kW open 24h near Forum Mall,4.4,false
EV_ChargeGrid_Whitefield,12.9698,77.7499,EV_STATION,ChargeGrid Hub 6x AC 22kW 2x DC 60kW ITPL gate,4.2,false
EV_Ather_Indiranagar,12.9784,77.6408,EV_STATION,Ather Grid fast charge 2-wheeler and 4W bays,4.3,false
EV_Statiq_Hebbal,13.0358,77.5970,EV_STATION,Statiq 4x DC 60kW Hebbal flyover junction 24h,4.5,false
EV_Tata_Electronic_City,12.8450,77.6640,EV_STATION,Tata Power 8x CCS2 150kW Electronic City Phase 2,4.6,false
EV_BESCOM_Jayanagar,12.9250,77.5938,EV_STATION,BESCOM public charger 2x AC 7kW 2x DC 30kW,3.9,false
EV_ChargeZone_Mysore_Road,12.9400,77.5020,EV_STATION,ChargeZone 4x CCS2 60kW Mysore Road NICE junction,4.1,false
#
# ── EV Stations — NH-48 Corridor (Bangalore → Chennai) ───────────────────────
EV_Statiq_Hosur,12.7367,77.8305,EV_STATION,Statiq Hosur Industrial Area 4x DC 60kW,4.3,false
EV_Tata_Krishnagiri,12.5266,78.2138,EV_STATION,Tata Power Krishnagiri bypass 2x CCS2 100kW,4.2,false
EV_Kazam_Vellore,12.9165,79.1325,EV_STATION,Kazam EV Vellore bypass 4x CCS2 50kW 24h,4.0,false
EV_ChargeGrid_Ranipet,12.9352,79.3326,EV_STATION,ChargeGrid Ranipet SIPCOT 2x DC 60kW,3.9,false
#
# ── EV Stations — Chennai ─────────────────────────────────────────────────────
EV_Tata_Adyar,13.0012,80.2565,EV_STATION,Tata Power Adyar 4x CCS2 50kW near LB Road,4.4,false
EV_Ather_OMR,12.9010,80.2279,EV_STATION,Ather Grid OMR Perungudi 6x AC 22kW 2x DC 60kW,4.5,false
EV_Statiq_Anna_Nagar,13.0850,80.2101,EV_STATION,Statiq Anna Nagar 4x DC 60kW covered parking,4.3,false
EV_ChargeZone_Porur,13.0358,80.1573,EV_STATION,ChargeZone Porur junction 4x CCS2 60kW 24h,4.1,false
EV_TANGEDCO_Tambaram,12.9249,80.1000,EV_STATION,TANGEDCO public fast charger Tambaram 2x DC 30kW,3.8,false
EV_Tata_ECR,12.8270,80.2360,EV_STATION,Tata Power ECR Sholinganallur 4x CCS2 100kW,4.6,false
#
# ── Social / Cloud Gems — Bangalore ──────────────────────────────────────────
